Country,Song Name,Popularity,Time Signature,Duration MS,Tempo,Valence,Liveness,Instrumentalness,Acousticness,Speechiness,Loudness,Key,Mode,Energy,Danceability,Energy-Loudness,Energy-Speechiness,Energy-Valence,Energy-Liveness,Energy-Tempo,Acousticness-Mode,Acousticness-Instrumentalness,Acousticness-Danceability,Danceability-Valence,Danceability-Key,Danceability-Mode,Danceability-Loudness,Danceability-Time Signature,Loudness-Speechiness,Loudness-Valence,Loudness-Liveness,Loudness-Key,Loudness-Mode,Loudness-Tempo,Loudness-Time Signature,Loudness-Duration MS,Valence-Speechiness,Valence-Key,Valence-Liveness,Valence-Tempo,Valence-Time Signature,Speechiness-Liveness,Speechiness-Tempo,Liveness-Tempo,Liveness-Key,Instrumentalness-Mode,Tempo-Duration MS,Key-Mode,Key-Duration MS,Key-Time Signature,Duration MS-Time Signature
1,Sesh Gaan ??? ??? Sumon Aurthohin Aushomapto-1 Original Track G Series World Music.wav,0.2272727272727273,0.0,0.0973320948505821,0.6958558558558557,0.4304562946673997,0.6525554369737933,0.0001079096045197,0.4248927172858195,0.2657450076804916,0.624000420875421,0.0,0.0,0.46288612263716,0.6110260336906583,0.28884113534297956,0.12300967621540505,0.19925224520335147,0.3020588560265968,0.32210201903147956,0.0,4.5850005085613486e-05,0.2596205117872005,0.26302000240779855,0.0,0.0,0.38128050218880993,0.0,0.16582499663816871,0.26860490904093165,0.4071948673161912,0.0,0.0,0.43421434692268024,0.0,0.060735268151449626,0.11439161133250408,0.0,0.28089659546480494,0.29953553333432387,0.0,0.17341334961054722,0.18492021975892942,0.45408452208879085,0.0,0.0,0.06772910816449514,0.0,0.0,0.0,0.0
1,Arbovirus - Omanush.wav,0.2954545454545454,0.5,0.0955462986272931,0.1636773136773136,0.2523364485981308,0.335942132100083,0.0123917137476459,0.0002423475340181,0.2688172043010752,0.7468434343434345,0.9090909090909092,1.0,0.9331489165514062,0.4272588055130167,0.6969161415911072,0.2508464829439263,0.23546748361577538,0.3134840365931618,0.15273530792202986,0.0002423475340181,3.0031012690001723e-06,0.00010354511790359859,0.10781296961543411,0.3884170959209243,0.4272588055130167,0.31909543366281495,0.21362940275650835,0.20076436407081566,0.18845581988105353,0.2508961756782817,0.6789485766758496,0.7468434343434345,0.1222413270708725,0.37342171717171724,0.07135812580561095,0.06783237865541149,0.2293967714528462,0.08477044454861907,0.04130175204941558,0.1261682242990654,0.0903070247580868,0.04399927787024558,0.05498610573317081,0.30540193827280276,0.0123917137476459,0.01563876149112573,0.9090909090909092,0.08686027147935736,0.4545454545454546,0.04777314931364655
1,Black-Miththa.wav,0.2954545454545454,0.5,0.0760228333889327,0.0455773955773954,0.3545904343045629,0.214988734732598,0.0,0.0989642965991427,0.2211981566820276,0.4116687710437711,0.9090909090909092,1.0,0.3026740433379438,0.1424196018376722,0.12460145144778043,0.06695094046184931,0.10732532047991958,0.06507150961362407,0.013795094604223183,0.0989642965991427,0.0,0.014094455717795199,0.0505006284691031,0.12947236530697473,0.1424196018376722,0.05862970246105771,0.0712098009188361,0.09106037331843783,0.14597380831403645,0.08850414821562393,0.3742443373125192,0.4116687710437711,0.018762790424722172,0.20583438552188554,0.031296226392487296,0.07843475044524892,0.3223549402768754,0.07623294881942039,0.0161613084922595,0.17729521715228144,0.04755511183025208,0.01008163588808746,0.009798626607591345,0.19544430430236184,0.0,0.003464922750281809,0.9090909090909092,0.06911166671721156,0.4545454545454546,0.03801141669446635
1,Anmone - Aushomapto - Aurthohin.wav,0.3181818181818182,0.5,0.1901116494680435,0.7573218673218675,0.4062671797691038,0.0692517490809913,2.8813559322033896e-05,0.0038503998425666,0.0491551459293394,0.735479797979798,0.0909090909090909,1.0,0.6622867680958968,0.5053598774885144,0.4870985384038635,0.03255480273282437,0.2690653774727145,0.04586451708383772,0.5015642519169492,0.0038503998425666,1.109437242773427e-07,0.001945837592721252,0.20531113219571856,0.04594180704441039,0.5053598774885144,0.371681980602348,0.2526799387442572,0.03615261679777804,0.29880130330240273,0.05093326242383514,0.06686179981634527,0.735479797979798,0.5569949339835705,0.367739898989899,0.1398232775443628,0.019970122507851462,0.03693337997900943,0.02813471279321196,0.3076750192143265,0.2031335898845519,0.003404079831938123,0.03722626690368621,0.05244586392932175,0.00629561355281739,2.8813559322033896e-05,0.143975709374779,0.0909090909090909,0.01728287722436759,0.04545454545454545,0.09505582473402174
1,Obocheton By Nemesis Album Agontuk 2 Official lyrical Video.wav,0.3409090909090909,0.5,0.1550964019926509,0.2901638001638,0.3380978559648159,0.0423336890786197,0.2598870056497175,0.0,0.0307219662058371,0.735111531986532,0.6363636363636364,1.0,0.7602581834946982,0.4226646248085757,0.5588745579740856,0.02335662622103522,0.257041661819263,0.032184533559540755,0.2205994036284492,0.0,0.0,0.0,0.14290200343995277,0.26896839760545727,0.4226646248085757,0.31070563985954486,0.21133231240428785,0.022584071643211374,0.24853963285965766,0.03111998303322565,0.4677982476277931,0.735111531986532,0.21330275566544493,0.367555765993266,0.11401315367441663,0.010387030905217054,0.21515318106851922,0.014312929512562463,0.09810375871398408,0.16904892798240795,0.0013005741652417696,0.008914402462789534,0.01228370409800505,0.02693962032275799,0.2598870056497175,0.04500336139391995,0.6363636363636364,0.09869771035895966,0.3181818181818182,0.07754820099632545
1,Abar Black Album Abar Bangla Band Song Official Art Track.wav,0.3409090909090909,0.5,0.0569594587053225,0.8648157248157248,0.5360087960417813,0.1568836712913554,0.0004161958568738,0.0127496449149775,0.4377880184331796,0.8456965488215489,0.0909090909090909,1.0,0.9193176579068696,0.1944869831546707,0.7774637705625489,0.4024662557656801,0.49276235099461135,0.14422592925540004,0.795040366658624,0.0127496449149775,5.306349390225747e-06,0.002479639975807262,0.10424673368653324,0.01768063483224279,0.1944869831546707,0.16447697044461973,0.09724349157733535,0.37023581630436464,0.45330078895052794,0.13267597937755354,0.07688150443832262,0.8456965488215489,0.7313716738432647,0.42284827441077444,0.04817041764983477,0.23465822868188577,0.048728072367434656,0.08409102776749397,0.46354883545647707,0.26800439802089066,0.06868179157916478,0.3786059624769301,0.13567546589958543,0.01426215193557776,0.0004161958568738,0.04925943556535482,0.0909090909090909,0.005178132609574772,0.04545454545454545,0.02847972935266125
1,Jare Ja Ure Ja Pakhi_Hasan (Ark).wav,0.3636363636363636,0.0,0.1719820973928615,0.5741769041769039,0.4546454095656954,0.0071149057274991,0.0,0.2006111651718816,0.0238095238095238,0.6548295454545456,0.0909090909090909,0.0,0.4156293222683264,0.5650842266462479,0.272166360178549,0.009895936244483958,0.18896396345019564,0.002957163445523485,0.23864475754517236,0.0,0.0,0.11336220512775541,0.2569129496626976,0.05137129333147707,0.0,0.37003384727829597,0.0,0.015591179653679652,0.29771524688890005,0.004659050483490179,0.05952995867768596,0.0,0.3759880011726602,0.0,0.11261895866208689,0.010824890703945125,0.04133140086960867,0.0032347592285001405,0.26104689376267154,0.0,0.0001694025173214071,0.01367087867087866,0.0040852145441259554,0.0006468096115908273,0.0,0.098748148254884,0.0,0.01563473612662377,0.0,0.0
1,Sraboner meghgulo jaro holo akashe ???????? ??????? ???? ??? ????? Different touch.wav,0.3636363636363636,0.5,0.0898119085325095,0.6651515151515149,0.8196811434854316,0.7284477647337839,0.0005951035781544,0.7664591177529179,0.1605222734254992,1.0,0.9090909090909092,0.0,0.9227754725680036,0.3813169984686064,0.9227754725680036,0.14812601671790532,0.7563816545348507,0.6721937303433234,0.6137855037232628,0.0,0.00045612256348382605,0.2922638902304388,0.3125583533351799,0.3466518167896422,0.0,0.3813169984686064,0.1906584992343032,0.1605222734254992,0.8196811434854316,0.7284477647337839,0.9090909090909092,0.0,0.6651515151515149,0.5,0.0898119085325095,0.1315770806362943,0.745164675895847,0.5970948967663947,0.5452121545304611,0.4098405717427158,0.11693209126679019,0.10677163338453656,0.4845281344214107,0.6622252406670763,0.0,0.05973852703904797,0.0,0.08164718957500865,0.4545454545454546,0.04490595426625475
1,BISSHOY (???????) - Mechanix Official Music Video.wav,0.3636363636363636,0.5,0.1710854788724185,0.439172809172809,0.0185816382627817,0.1058935135776117,0.003879472693032,0.0888819148986078,0.0460829493087557,0.7668350168350169,0.0,0.0,0.3856615952051637,0.4410413476263399,0.29573881585177114,0.01777242374217342,0.007166224253949697,0.04083906136822139,0.16937208615631846,0.0,0.00034481496175354305,0.039200599526491645,0.008195270780522403,0.0,0.0,0.3382059492319829,0.22052067381316995,0.0353380192089869,0.014249050890062398,0.08120285426700696,0.0,0.0,0.33677308851551263,0.38341750841750843,0.13119433607135797,0.0008562966941374044,0.0,0.001967674963674143,0.008160550274898794,0.00929081913139085,0.004879885418323114,0.0202383783028944,0.04650555183105872,0.0,0.0,0.07513609036507529,0.0,0.0,0.0,0.08554273943620926
1,Manush Pakhir Gaan Black Album Abar Official Lyrical Video.wav,0.3863636363636363,0.5,0.0888656845614196,0.3395741195741194,0.2589334799340297,0.0385390726906201,7.062146892655366e-05,0.0311654237353421,0.0360983102918586,0.8056607744107744,0.7272727272727273,1.0,0.6334716459197789,0.5880551301684531,0.510363256818997,0.022867256035506562,0.16402701771754585,0.02441340980954912,0.21511057643837725,0.0311654237353421,2.20094800390834e-06,0.018326987311441598,0.1522671612475764,0.42767645830432954,0.5880551301684531,0.4737729515677447,0.29402756508422656,0.02908299262465923,0.2086125479645271,0.03104941914899812,0.5859351086623814,0.8056607744107744,0.273581548145942,0.4028303872053872,0.07159559624229692,0.009347061103609347,0.18831525813383979,0.009979056205212793,0.08792710847686105,0.12946673996701485,0.0013911954043464984,0.012258051935471258,0.013086871678120312,0.028028416502269168,7.062146892655366e-05,0.03017648659529548,0.7272727272727273,0.06462958877194153,0.36363636363636365,0.0444328422807098
